StartSession,15:20:57.2665984
(527, 249),15:32:53.3080960
(528, 249),15:32:53.4731264
(529, 249),15:32:53.5810304
(530, 249),15:32:53.7512320
(531, 249),15:32:59.1553920
(532, 249),15:32:59.3033984
(533, 249),15:32:59.5053696
(534, 249),15:32:59.6843136
(535, 249),15:32:59.8513280
(536, 249),15:33:00.0093696
(537, 249),15:33:00.1594112
(538, 249),15:33:00.3003264
(539, 249),15:33:02.8824192
(540, 249),15:33:03.2364672
(541, 249),15:33:03.4114560
(542, 249),15:33:03.5896192
(543, 249),15:33:03.7444864
(544, 249),15:33:03.9125248
(545, 249),15:33:04.1955712
(546, 249),15:33:04.3696000
(546, 250),15:33:09.8817408
(546, 251),15:33:10.0918528
(546, 252),15:33:10.2497536
(546, 253),15:33:10.4096896
(546, 254),15:33:10.5837184
(546, 255),15:33:10.7568768
(546, 256),15:33:11.2268160
(546, 257),15:33:11.3938688
(547, 257),15:33:18.5440512
(548, 257),15:33:18.6861696
(549, 257),15:33:18.8672000
(550, 257),15:33:19.1661696
(551, 257),15:33:19.3911808
(552, 257),15:33:20.0421504
(553, 257),15:33:20.2951424
(554, 257),15:33:20.4431232
(555, 257),15:33:20.4971136
(556, 257),15:33:20.8812288
(557, 257),15:33:30.0635776
(558, 257),15:33:30.2755584
(559, 257),15:33:38.7469824
(560, 257),15:33:39.1959936
(561, 257),15:33:39.3379456
(562, 257),15:33:39.4930560
(563, 257),15:33:39.6569600
(564, 257),15:33:39.8188800
(565, 257),15:33:39.9660288
(566, 257),15:33:43.7340416
(567, 257),15:33:43.9140992
(568, 257),15:33:44.1640960
(569, 257),15:33:44.3222272
(570, 257),15:33:44.4920832
(571, 257),15:33:44.6880896
(572, 257),15:33:44.8491520
(573, 257),15:33:45.0222080
(574, 257),15:33:49.4064768
(575, 257),15:33:49.6263680
(576, 257),15:33:49.8233984
(577, 257),15:33:50.1333248
(578, 257),15:33:50.2854400
(579, 257),15:33:50.4414464
(580, 257),15:33:50.5745152
(581, 257),15:33:50.7394048
(582, 257),15:33:54.4544896
(583, 257),15:33:54.6238464
(584, 257),15:33:54.8285696
(585, 257),15:33:55.0085248
(586, 257),15:33:55.1555072
(587, 257),15:33:55.3266816
(588, 257),15:33:55.4785536
(589, 257),15:33:55.7865856
(590, 257),15:33:55.9515520
(590, 258),15:33:59.7857792
(590, 259),15:33:59.9718272
(590, 260),15:34:00.1587200
(590, 261),15:34:00.2967552
(590, 262),15:34:00.4718464
(590, 263),15:34:00.6277760
(590, 264),15:34:00.7749376
(590, 265),15:34:00.9107968
(590, 266),15:34:01.1047168
(590, 267),15:34:01.2627968
(590, 268),15:34:01.4458496
(590, 269),15:34:01.6358784
(591, 269),15:34:07.7820416
(592, 269),15:34:08.4871680
(592, 270),15:34:09.3201920
(592, 271),15:34:09.5221504
(592, 272),15:34:09.7981440
(592, 273),15:34:10.0162304
(592, 274),15:34:10.2512768
(593, 274),15:34:12.0061824
(594, 274),15:34:12.1891712
(595, 274),15:34:12.3962368
(596, 274),15:34:17.1093888
(597, 274),15:34:17.3244672
(598, 274),15:34:17.5095424
(599, 274),15:34:17.6953984
(600, 274),15:34:17.8465408
(601, 274),15:34:18.0044416
(602, 274),15:34:18.1644928
(603, 274),15:34:21.6565504
(604, 274),15:34:21.8575488
(605, 274),15:34:22.1006336
